title,release_date,popularity,vote_average,vote_count
Poor Things,2023-12-08,10.598,7.654,5356
Jurassic World,2015-06-12,12.0622,6.699,21390
War of the Worlds,2005-06-29,11.3556,6.531,9026
28 Days Later,2003-06-27,13.0966,7.238,8303
The Amazing Spider-Man,2012-07-03,13.5909,6.729,18306
Affinity,2025-09-30,14.1458,5.3,12
Kaiju No. 8: Mission Recon,2025-04-13,12.0744,7.9,83
Ghost in the Shell,2017-03-31,10.9571,6.106,8466
Black Panther,2018-02-16,15.9318,7.362,23259
Jurassic World Dominion,2022-06-10,12.7094,6.608,6934
Black Panther: Wakanda Forever,2022-11-11,11.7362,7.009,7329
Star Wars: The Force Awakens,2015-12-18,11.7151,7.25,20347
The Thirteenth Floor,1999-04-16,10.5545,7.047,1479
World War Z,2013-06-21,11.9588,6.823,16319
The 33D Invader,2011-10-06,12.2705,5.6,31
Edge of Tomorrow,2014-06-06,10.2031,7.635,14852
The Heroic Trio,1993-02-12,10.3004,6.7,101
Space/Time,2026-01-13,11.1252,5.8,38
Predator: Killer of Killers,2025-06-05,11.2848,7.806,1121
Godzilla,2014-05-16,11.5766,6.351,9645
Iron Lung,2026-01-30,10.6,7.17,109
Black Widow,2021-07-09,11.6635,7.173,11075
Mickey 17,2025-03-07,13.1616,6.827,3351
Venom,2018-10-05,13.1914,6.826,17071
Transformers One,2024-09-20,10.0394,7.991,1534
Resident Evil: Welcome to Raccoon City,2021-11-24,10.0818,5.937,2640
The League of Extraordinary Gentlemen,2003-07-11,10.3104,5.975,4290
Fire in the Sky,1993-03-12,10.2803,6.635,672
Back to the Future Part II,1989-11-22,9.6075,7.776,13738
Revival of Evangelion,1998-03-07,9.5661,7.7,60
Altered,2025-11-21,10.5267,5.806,93
The Electric State,2025-03-07,11.9526,6.486,1580
The Matrix Resurrections,2021-12-22,10.4753,6.343,6340
Logan,2017-03-03,12.3934,7.818,20206
Spider-Man: Brand New Day,2026-07-31,12.8793,0.0,0
The Hunger Games: Mockingjay - Part 1,2014-11-21,10.9934,6.817,16583
Companion,2025-01-31,11.057,7.014,2132
Resident Evil: Death Island,2023-07-25,9.8469,7.294,1085
The Time Travelers,1964-10-29,9.1163,5.067,82
Star Wars: The Rise of Skywalker,2019-12-20,11.1583,6.272,10680
The Flash,2023-06-16,12.1214,6.617,4885
Long Distance,2025-07-03,10.497,6.408,234
Man of Steel,2013-06-14,10.744,6.64,15995
The Creator,2023-09-29,10.3343,7.009,3710
Battleship,2012-05-18,10.1541,5.88,5858
Elevation,2024-11-08,10.6461,6.419,913
Ready Player One,2018-03-29,11.3091,7.584,16667
Mad Max: Fury Road,2015-05-15,16.8421,7.63,23837
Resident Evil: Vendetta,2017-06-19,9.4171,6.9,1069
E.T. the Extra-Terrestrial,1982-06-11,10.3096,7.512,11867
The Thing,1982-06-25,10.7098,8.068,7768
Nineteen Eighty-Four,1984-12-14,9.4173,6.786,1619
The Matrix Reloaded,2003-05-15,10.4113,7.07,11779
